Fundo,Ativo,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
HABT11,24G1768866,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,imovel,FR,FR,,,,
HABT11,23G1149789,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
HABT11,24D3462826,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,23G1149794,CF,recebiveis/ credito/ direito creditorio,AF,F,FR,,,,,,,
HABT11,21J0989932,CF,CF,recebiveis/ credito/ direito creditorio,AF,terreno,FR,R,,,,,
HABT11,21B0566153,CF,recebiveis/ credito/ direito creditorio,CF,AF,imovel,F,FR,FR,,,,
HABT11,19K1139240,CF,recebiveis/ credito/ direito creditorio,CF,AF,F,FR,,,,,,
HABT11,22A0423267,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,23B0790147,CF,recebiveis/ credito/ direito creditorio,CF,F,AF,spe,FR,FR,,,,
HABT11,20H0050614,CF,CF,recebiveis/ credito/ direito creditorio,AF,terreno,FR,R,,,,,
HABT11,22B0653652,CF,AF,A,FR,R,FR,FR,R,,,,
HABT11,21I0802801,CF,recebiveis/ credito/ direito creditorio,CF,AF,imovel,F,FR,FR,,,,
HABT11,24D3410758,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
HABT11,21I0600458,H,terreno,CF,AF,A,FR,FR,R,,,,
HABT11,24C1998253,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,,
HABT11,20H0620360,CF,recebiveis/ credito/ direito creditorio,A,FR,,,,,,,,
HABT11,21H1035398,AF,FR,,,,,,,,,,
HABT11,21E0379796,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,,,,,
HABT11,20H0051749,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21J1001700,CF,CF,recebiveis/ credito/ direito creditorio,AF,terreno,FR,R,,,,,
HABT11,21J1001701,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21G0733018,CF,recebiveis/ credito/ direito creditorio,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",F,FR,FR,R,,,
HABT11,24F1185811,CF,recebiveis/ credito/ direito creditorio,AF,AF,imovel,FR,,,,,,
HABT11,24F2316395,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,imovel,A,FR,FR,,,
HABT11,24F2316349,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,imovel,A,FR,FR,,,
HABT11,20H0051754,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21J0300224,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,imovel,FR,FR,,,,
HABT11,21B0564516,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
HABT11,21L0967451,CF,recebiveis/ credito/ direito creditorio,CF,F,AF,spe,FR,FR,,,,
HABT11,21J0649503,CF,recebiveis/ credito/ direito creditorio,A,FR,,,,,,,,
HABT11,21L0967725,CF,recebiveis/ credito/ direito creditorio,CF,F,AF,spe,FR,FR,,,,
HABT11,21F1037235,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,imovel,FR,FR,,,,
HABT11,22B0652228,AF,FR,,,,,,,,,,
HABT11,20L0871063,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,21A0608474,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
HABT11,21K0522538,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,22B0653348,CF,recebiveis/ credito/ direito creditorio,AF,spe,A,FR,FR,,,,,
HABT11,22B0653645,CF,recebiveis/ credito/ direito creditorio,CF,F,FR,FR,,,,,,
HABT11,20H0050651,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,22I0149798,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,,
HABT11,22B0653493,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,F,FR,FR,,,,,
HABT11,21A0607979,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
HABT11,22B0653675,CF,recebiveis/ credito/ direito creditorio,CF,F,FR,FR,,,,,,
HABT11,22B0653681,CF,recebiveis/ credito/ direito creditorio,CF,AF,A,socios,FR,,,,,
HABT11,21L0967727,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,FR,,,,,,
HABT11,22B0653656,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,A,AF,A,socios,FR,FR,
HABT11,22D1286980,CF,recebiveis/ credito/ direito creditorio,CF,AF,imovel,F,FR,FR,,,,
HABT11,22I0149823,CF,recebiveis/ credito/ direito creditorio,AF,spe,F,FR,FR,,,,,
HABT11,22I0149814,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,,
HABT11,21D0864263,CF,recebiveis/ credito/ direito creditorio,CF,CF,AF,F,FR,,,,,
HABT11,21G0733026,CF,recebiveis/ credito/ direito creditorio,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",F,FR,FR,R,,,
HABT11,22I0149811,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,,
HABT11,21L0967718,CF,recebiveis/ credito/ direito creditorio,CF,F,AF,spe,FR,FR,,,,
HABT11,21I0940475,H,terreno,CF,AF,A,FR,FR,R,,,,
HABT11,21F1151103,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,22B0653556,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,A,AF,A,socios,FR,FR,
HABT11,21L0967724,CF,recebiveis/ credito/ direito creditorio,CF,F,AF,spe,FR,FR,,,,
HABT11,22I0149863,CF,recebiveis/ credito/ direito creditorio,AF,spe,F,FR,FR,FR,,,,
HABT11,22B0653678,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,A,AF,A,socios,FR,FR,
HABT11,21D0864264,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,20L0871069,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,,,,
HABT11,23H1074707,CF,recebiveis/ credito/ direito creditorio,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",F,FR,,,,,
HABT11,20L0871068,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,AF,imovel,A,FR,FR,,
HABT11,22B0084502,F,AF,imovel,AF,"cotas de fundo (fip, fii etc.) e acoes",CF,,,,,,
HABT11,21I0802805,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,,
HABT11,21A0608487,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
HABT11,20L0871064,CF,recebiveis/ credito/ direito creditorio,CF,AF,F,socios,FR,,,,,
HABT11,20L0871066,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,AF,imovel,A,FR,FR,,
HABT11,22D1286982,CF,recebiveis/ credito/ direito creditorio,CF,AF,imovel,F,FR,FR,,,,
HABT11,22D1286981,CF,recebiveis/ credito/ direito creditorio,CF,AF,imovel,F,FR,FR,,,,
HABT11,21C0710827,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,,
HABT11,21D0864252,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,A,AF,A,socios,FR,FR,
HABT11,21D0864254,CF,recebiveis/ credito/ direito creditorio,AF,spe,AF,A,AF,A,socios,FR,FR,
HABT11,22D1286983,CF,recebiveis/ credito/ direito creditorio,CF,AF,imovel,F,FR,FR,,,,
HABT11,21L0729728,CF,recebiveis/ credito/ direito creditorio,CF,AF,spe,F,FR,FR,FR,R,AF,imovel
HABT11,21B0591503,CF,CF,AF,"cotas de fundo (fip, fii etc.) e acoes",spe,AF,A,socios,spe,FR,R,FR
